id_municipio,municipio_nome,id,unidade
3500105,Adamantina,1,URAE 1 - Sudeste
3500204,Adolfo,2,URAE 1 - Sudeste
3500303,Aguaí,3,URAE 1 - Sudeste
3500402,Águas da Prata,4,URAE 1 - Sudeste
3500501,Águas de Lindóia,1,URAE 4 - Norte
3500550,Águas de Santa Bárbara,1,URAE 2 - Centro
3500600,Águas de São Pedro,5,URAE 1 - Sudeste
3500709,Agudos,6,URAE 1 - Sudeste
3500758,Alambari,7,URAE 1 - Sudeste
3500808,Alfredo Marcondes,8,URAE 1 - Sudeste
3500907,Altair,9,URAE 1 - Sudeste
3501004,Altinópolis,2,URAE 4 - Norte
3501103,Alto Alegre,10,URAE 1 - Sudeste
3501152,Alumínio,11,URAE 1 - Sudeste
3501202,Álvares Florence,3,URAE 4 - Norte
3501301,Álvares Machado,12,URAE 1 - Sudeste
3501400,Álvaro de Carvalho,13,URAE 1 - Sudeste
3501509,Alvinlândia,14,URAE 1 - Sudeste
3501608,Americana,1,URAE 3 - Leste
3501707,Américo Brasiliense,4,URAE 4 - Norte
3501806,Américo de Campos,5,URAE 4 - Norte
3501905,Amparo,2,URAE 3 - Leste
3502002,Analândia,2,URAE 2 - Centro
3502101,Andradina,6,URAE 4 - Norte
3502200,Angatuba,15,URAE 1 - Sudeste
3502309,Anhembi,16,URAE 1 - Sudeste
3502408,Anhumas,17,URAE 1 - Sudeste
3502507,Aparecida,3,URAE 3 - Leste
3502606,Aparecida d'Oeste,18,URAE 1 - Sudeste
3502705,Apiaí,19,URAE 1 - Sudeste
3502754,Araçariguama,20,URAE 1 - Sudeste
3502804,Araçatuba,7,URAE 4 - Norte
3502903,Araçoiaba da Serra,3,URAE 2 - Centro
3503000,Aramina,8,URAE 4 - Norte
3503109,Arandu,21,URAE 1 - Sudeste
3503158,Arapeí,22,URAE 1 - Sudeste
3503208,Araraquara,4,URAE 2 - Centro
3503307,Araras,5,URAE 2 - Centro
3503356,Arco-Íris,23,URAE 1 - Sudeste
3503406,Arealva,24,URAE 1 - Sudeste
3503505,Areias,4,URAE 3 - Leste
3503604,Areiópolis,25,URAE 1 - Sudeste
3503703,Ariranha,9,URAE 4 - Norte
3503802,Artur Nogueira,5,URAE 3 - Leste
3503901,Arujá,26,URAE 1 - Sudeste
3503950,Aspásia,27,URAE 1 - Sudeste
3504008,Assis,28,URAE 1 - Sudeste
3504107,Atibaia,6,URAE 3 - Leste
3504206,Auriflama,29,URAE 1 - Sudeste
3504305,Avaí,30,URAE 1 - Sudeste
3504404,Avanhandava,10,URAE 4 - Norte
3504503,Avaré,31,URAE 1 - Sudeste
3504602,Bady Bassitt,11,URAE 4 - Norte
3504701,Balbinos,32,URAE 1 - Sudeste
3504800,Bálsamo,12,URAE 4 - Norte
3504909,Bananal,33,URAE 1 - Sudeste
3505005,Barão de Antonina,34,URAE 1 - Sudeste
3505104,Barbosa,13,URAE 4 - Norte
3505203,Bariri,6,URAE 2 - Centro
3505302,Barra Bonita,7,URAE 2 - Centro
3505351,Barra do Chapéu,35,URAE 1 - Sudeste
3505401,Barra do Turvo,36,URAE 1 - Sudeste
3505500,Barretos,14,URAE 4 - Norte
3505609,Barrinha,15,URAE 4 - Norte
3505708,Barueri,37,URAE 1 - Sudeste
3505807,Bastos,38,URAE 1 - Sudeste
3505906,Batatais,16,URAE 4 - Norte
3506003,Bauru,8,URAE 2 - Centro
3506102,Bebedouro,17,URAE 4 - Norte
3506201,Bento de Abreu,39,URAE 1 - Sudeste
3506300,Bernardino de Campos,40,URAE 1 - Sudeste
3506359,Bertioga,41,URAE 1 - Sudeste
3506409,Bilac,18,URAE 4 - Norte
3506508,Birigui,19,URAE 4 - Norte
3506607,Biritiba-Mirim,42,URAE 1 - Sudeste
3506706,Boa Esperança do Sul,9,URAE 2 - Centro
3506805,Bocaina,43,URAE 1 - Sudeste
3506904,Bofete,10,URAE 2 - Centro
3507001,Boituva,44,URAE 1 - Sudeste
3507100,Bom Jesus dos Perdões,7,URAE 3 - Leste
3507159,Bom Sucesso de Itararé,45,URAE 1 - Sudeste
3507209,Borá,46,URAE 1 - Sudeste
3507308,Boracéia,47,URAE 1 - Sudeste
3507407,Borborema,20,URAE 4 - Norte
3507456,Borebi,11,URAE 2 - Centro
3507506,Botucatu,48,URAE 1 - Sudeste
3507605,Bragança Paulista,49,URAE 1 - Sudeste
3507704,Braúna,21,URAE 4 - Norte
3507753,Brejo Alegre,50,URAE 1 - Sudeste
3507803,Brodowski,22,URAE 4 - Norte
3507902,Brotas,12,URAE 2 - Centro
3508009,Buri,51,URAE 1 - Sudeste
3508108,Buritama,23,URAE 4 - Norte
3508207,Buritizal,52,URAE 1 - Sudeste
3508306,Cabrália Paulista,13,URAE 2 - Centro
3508405,Cabreúva,53,URAE 1 - Sudeste
3508504,Caçapava,54,URAE 1 - Sudeste
3508603,Cachoeira Paulista,55,URAE 1 - Sudeste
3508702,Caconde,24,URAE 4 - Norte
3508801,Cafelândia,25,URAE 4 - Norte
3508900,Caiabu,56,URAE 1 - Sudeste
3509007,Caieiras,57,URAE 1 - Sudeste
3509106,Caiuá,14,URAE 2 - Centro
3509205,Cajamar,58,URAE 1 - Sudeste
3509254,Cajati,59,URAE 1 - Sudeste
3509304,Cajobi,26,URAE 4 - Norte
3509403,Cajuru,60,URAE 1 - Sudeste
3509452,Campina do Monte Alegre,61,URAE 1 - Sudeste
3509502,Campinas,8,URAE 3 - Leste
3509601,Campo Limpo Paulista,62,URAE 1 - Sudeste
3509700,Campos do Jordão,63,URAE 1 - Sudeste
3509809,Campos Novos Paulista,15,URAE 2 - Centro
3509908,Cananéia,64,URAE 1 - Sudeste
3509957,Canas,65,URAE 1 - Sudeste
3510005,Cândido Mota,16,URAE 2 - Centro
3510104,Cândido Rodrigues,66,URAE 1 - Sudeste
3510153,Canitar,17,URAE 2 - Centro
3510203,Capão Bonito,67,URAE 1 - Sudeste
3510302,Capela do Alto,68,URAE 1 - Sudeste
3510401,Capivari,18,URAE 2 - Centro
3510500,Caraguatatuba,69,URAE 1 - Sudeste
3510609,Carapicuíba,70,URAE 1 - Sudeste
3510708,Cardoso,71,URAE 1 - Sudeste
3510807,Casa Branca,27,URAE 4 - Norte
